serial,sample id,material type,SA,TPV,MPV,C,H,N,O,T,P,CO2,ref
162,NGC,Microporous,65,0.09,,60.11,2.46,20.66,,25,1,1.82,
163,NGC,Microporous,65,0.09,,60.11,2.46,20.66,,0,1,2.4,
164,NGC-600-2,Microporous,933,0.45,,66.51,2.33,12.27,,25,1,3.43,
165,NGC-600-2,Microporous,933,0.45,,66.51,2.33,12.27,,0,1,4.8,
166,NGC-600-3,Microporous,1005,0.46,,65.31,2.38,12.21,,25,1,3.46,
167,NGC-600-3,Microporous,1005,0.46,,65.31,2.38,12.21,,0,1,4.84,
168,NGC-600-4,Microporous,1170,0.53,,63.67,2.42,11.81,,25,1,3.74,
169,NGC-600-4,Microporous,1170,0.53,,63.67,2.42,11.81,,0,1,5.32,
170,NGC-650-2,Microporous,1754,0.83,,69.83,2.14,10.51,,25,1,3.69,
171,NGC-650-2,Microporous,1754,0.83,,69.83,2.14,10.51,,0,1,5.45,
172,NGC-650-3,Microporous,1699,0.89,,70.32,1.98,9.54,,25,1,3.65,
173,NGC-650-3,Microporous,1699,0.89,,70.32,1.98,9.54,,0,1,5.87,
174,T-GU,Hierarchical,63,0.46,,78.33,1.08,12.94,,25,1,0.46,
175,T-GU,Hierarchical,63,0.46,,78.33,1.08,12.94,,0,1,0.54,
176,PAN-OK,Microporous,780.17,0.39,,76.83,0.87,11.18,11.12,25,1,3.1,
177,PAN-PK,Hierarchical,2231.24,1.16,,86.12,0.81,8.13,4.94,25,1,4.4,
178,HAC,Hierarchical,49,0.04,,43.38,1.96,10.6,44.06,25,1,1.21,
179,HAC,Hierarchical,49,0.04,,43.38,1.96,10.6,44.06,0,1,1.52,
180,HAC,Hierarchical,49,0.04,,43.38,1.96,10.6,44.06,25,0.15,0.45,
181,HAC,Hierarchical,49,0.04,,43.38,1.96,10.6,44.06,0,0.15,0.88,
182,HAC-ZnCl2-750,Microporous,273,0.19,,46.52,1.55,9.32,42.61,25,1,1.78,
183,HAC-ZnCl2-750,Microporous,273,0.19,,46.52,1.55,9.32,42.61,0,1,2.14,
184,HAC-ZnCl2-750,Microporous,273,0.19,,46.52,1.55,9.32,42.61,25,0.15,0.69,
185,HAC-ZnCl2-750,Microporous,273,0.19,,46.52,1.55,9.32,42.61,0,0.15,0.65,
186,HAC-ZnCl2-850,Microporous,481,0.27,,52.01,1.92,8.75,37.32,25,1,1.83,
187,HAC-ZnCl2-850,Microporous,481,0.27,,52.01,1.92,8.75,37.32,0,1,2.62,
188,HAC-ZnCl2-850,Microporous,481,0.27,,52.01,1.92,8.75,37.32,25,0.15,0.67,
189,HAC-ZnCl2-850,Microporous,481,0.27,,52.01,1.92,8.75,37.32,0,0.15,0.82,
190,IBLP,Microporous,48.06,0.19,,66.66,5.27,13.01,,0,1,1.06,
191,IBLP,Microporous,48.06,0.19,,66.66,5.27,13.01,,25,1,0.7,
192,IBLP-600,Microporous,161.06,0.18,,72.96,2.98,12.84,,0,1,1.93,
193,IBLP-600,Microporous,161.06,0.18,,72.96,2.98,12.84,,25,1,1.36,
194,IBLP-700,Microporous,270.64,0.24,,77.49,1.95,10.22,,0,1,2.77,
195,IBLP-700,Microporous,270.64,0.24,,77.49,1.95,10.22,,25,1,2.06,
196,IBLP-800,Microporous,339,0.26,,77.56,1.02,8.24,,0,1,2.96,
197,IBLP-800,Microporous,339,0.26,,77.56,1.02,8.24,,25,1,2.24,
198,NHPC3,Hierarchical,1109,1.58,,77.8,,10.6,10.7,0,1,3.54,
199,NHPC3,Hierarchical,1109,1.58,,77.8,,10.6,10.7,25,1,2.66,
200,NHPC4,Hierarchical,1150,1.15,,71.8,,14.5,12.6,0,1,3.96,
201,NHPC4,Hierarchical,1150,1.15,,71.8,,14.5,12.6,25,1,2.99,
202,ARG-K-PM,Microporous,2251.04,1.04,,85.08,,9.49,5.43,25,1,5.51,
203,ARG-K-Im,Microporous,1889.63,0.87,,82.68,,13.9,3.42,25,1,5.63,
204,ARG-N-PM,Microporous,1462.71,0.74,,67.74,,9.07,23.19,25,1,3.64,
205,ARG-N-Im,Microporous,1826.96,0.96,,82.14,,12.61,5.25,25,1,3.73,
206,PC-550-1,Microporous,855,0.45,,64.76,3.87,13.05,,25,1,3.33,
207,PC-550-1,Microporous,855,0.45,,64.76,3.87,13.05,,0,1,4.19,
208,PC-550-2,Microporous,1338,0.68,,66.54,4.01,11.32,,25,1,3.57,
209,PC-550-2,Microporous,1338,0.68,,66.54,4.01,11.32,,0,1,5.03,
210,PC-550-3,Microporous,1655,0.78,,68.54,4.92,9.84,,25,1,3.77,
211,PC-550-3,Microporous,1655,0.78,,68.54,4.92,9.84,,0,1,5.61,
212,NCSs,Microporous,581,0.35,,67.78,1.24,11.48,19.5,25,1,2.55,
213,WNCP,Microporous,447,0.22,,71.9,1.37,11.5,15.48,25,1,1.48,
214,WNCP,Microporous,447,0.22,,71.9,1.37,11.5,15.48,25,1,1.48,
215,C-650-3-N,Microporous,1012,0.44,,75.5,0.95,8.01,,25,1,3,
216,C-650-3-N,Microporous,1012,0.44,,75.5,0.95,8.01,,0,1,4.8,
217,H-NMC-2.5,Mesoporous,537,0.47,,65.31,2.71,13.1,,25,1,2.8,
218,NPC-1-500,Microporous,486,0.42,,58.16,3.35,9.33,29.16,0,1,2.73,
219,NPC-1-500,Microporous,486,0.42,,58.16,3.35,9.33,29.16,0,0.15,1.09,
220,NPC-2-500,Microporous,650,0.53,,57.53,3.51,11.33,27.63,0,1,3.29,
221,NPC-2-500,Microporous,650,0.53,,57.53,3.51,11.33,27.63,0,0.15,1.41,
222,NPC-3-500,Microporous,394,0.27,,67.94,3.27,8.48,20.31,0,1,2.84,
223,NPC-3-500,Microporous,394,0.27,,67.94,3.27,8.48,20.31,0,0.15,1.39,
224,NPC-4-500,Microporous,798,0.54,,58.94,3.68,9.05,28.33,0,1,3.86,
225,NPC-4-500,Microporous,798,0.54,,58.94,3.68,9.05,28.33,0,0.15,1.68,
226,NPC-4-600,Microporous,1518,1.11,,58.81,2.24,9.71,29.24,0,1,4.7,
227,NPC-4-600,Microporous,1518,1.11,,58.81,2.24,9.71,29.24,0,0.15,1.59,
228,F-DCBP-CTF-1,Hierarchical,1574,1.5,,59.7,1.24,11.3,,0,1,5.98,
229,F-DCBP-CTF-1,Hierarchical,1574,1.5,,59.7,1.24,11.3,,25,1,3.82,
230,F-DCBP-CTF-2,Hierarchical,1126,1.56,,59.4,1.97,10.2,,0,1,5.23,
231,F-DCBP-CTF-2,Hierarchical,1126,1.56,,59.4,1.97,10.2,,25,1,3.16,
232,N-WAPC,Microporous,862,0.5,,71.98,1.1,14.48,12.44,0,1,4.5,
233,,Microporous,862,0.5,,71.98,1.1,14.48,12.44,25,1,2.91,
234,CN700,Hierarchical,1023,0.686,,86.6,1,8.1,4.3,25,1,1.73,
235,MFA-500,Hierarchical,283,0.79,,57.78,2.34,35.73,4.15,25,1,1.86,
236,MFB-500,Hierarchical,336,0.7,,53.61,2.34,37.72,6.34,25,1,1.86,
237,MFC-500,Hierarchical,302,0.71,,52.36,2.13,39.77,5.74,25,1,1.86,
238,MFD-500,Hierarchical,284,0.58,,50.31,2.34,40.88,6.47,25,1,7.81,
239,MFA-600,Hierarchical,520,1.06,,56.17,1.92,30.97,10.94,25,1,2.16,
240,MFB-600,Hierarchical,490,0.91,,53.81,1.92,32.31,11.96,25,1,2.25,
241,MFC-600,Hierarchical,488,0.99,,51.89,1.81,33.92,12.38,25,1,2,
242,MFD-600,Hierarchical,476,0.72,,51.67,1.81,34.45,12.08,25,1,2.07,
243,MFA-700,Hierarchical,829,1.66,,63.7,1.6,24.73,9.97,25,1,2.09,
244,MFB-700,Hierarchical,791,1.3,,60.26,1.49,26.25,12,25,1,2.16,
245,MFC-700,Hierarchical,876,1.64,,62.52,1.38,27.37,8.73,25,1,2.02,
246,MFD-700,Hierarchical,818,1.05,,58.96,1.49,27.31,12.25,25,1,2.09,
247,NPC10,Hierarchical,639,0.35,,56.13,27.5,11.56,4.81,25,1,3.2,
248,NAP1,Microporous,1095,1.06,,82.19,4.11,13.7,,0,1,3.93,
249,NAP1,Microporous,1095,1.06,,82.19,4.11,13.7,,25,1,2.26,
250,NAP2,Microporous,923,0.69,,80.23,3.88,15.89,,0,1,3.35,
251,NAP2,Microporous,923,0.69,,80.23,3.88,15.89,,25,1,1.92,
252,IBN9-NC,Mesoporous,890,0.68,,,,18.78,,25,0.2,1.05,
253,IBN9-NC,Mesoporous,890,0.68,,,,18.78,,25,1,2.21,
254,IBN9-NC1,Mesoporous,925,0.75,,,,16.09,,25,0.2,0.81,
255,IBN9-NC1,Mesoporous,925,0.75,,,,16.09,,25,1,1.81,
256,IBN9-NC-A,Microporous,1107,0.69,,,,12.8,,25,0.2,1.38,
257,IBN9-NC-A,Microporous,1107,0.69,,,,12.8,,25,1,3.68,
258,IBN9-NC1-A,Microporous,1181,0.73,,,,12.91,,25,0.2,1.75,
259,IBN9-NC1-A,Microporous,1181,0.73,,,,12.91,,25,1,4.5,
260,CN,Hierarchical,550,0.9,,69,3,17.8,10.2,25,1,2.9,
261,TNHCP1,Microporous,848,0.451,,90.57,0,9.43,0,0,1,2.89,
262,TNHCP1,Microporous,848,0.451,,90.57,0,9.43,0,25,1,2.2,
263,TNHCP2,Microporous,766,0.403,,83.02,0,16.98,0,0,1,3.64,
264,TNHCP2,Microporous,766,0.403,,83.02,0,16.98,0,25,1,2.11,
265,TNHCP3,Microporous,751,0.387,,89.63,0,10.37,0,0,1,3.55,
266,TNHCP3,Microporous,751,0.387,,89.63,0,10.37,0,25,1,2.23,
267,MCN1,Mesoporous,540,,,72.8,4.9,19.5,,25,1,2.43,
268,MCN2,Mesoporous,526,,,67.4,21.9,4.8,,25,1,2.48,
269,MCN3,Mesoporous,514,,,66.8,26.1,4.7,,25,1,2.53,
270,KNC-A-K,Microporous,614,,,65.1,,10.5,,25,0.1,1.62,
271,KNC-A-K,Microporous,614,,,65.1,,10.5,,25,1,4.04,
272,KNC-A-HCl,Microporous,1004,,,68.8,,12.9,,25,0.1,1.03,
273,KNC-A-HCl,Microporous,1004,,,68.8,,12.9,,25,1,4.03,
274,SBA-NC,Mesoporous,726,,,67.8,,17.4,,25,0.1,0.84,
275,SBA-NC,Mesoporous,726,,,67.8,,17.4,,25,1,2.34,
